Year,Indicator,Scenario,Value
2025,Access,baseline,66.6
2025,Access,optimistic,69.1
2025,Access,pessimistic,64.1
2025,Usage,baseline,39.8
2025,Usage,optimistic,42.3
2025,Usage,pessimistic,37.3
2026,Access,baseline,74.2
2026,Access,optimistic,76.7
2026,Access,pessimistic,71.7
2026,Usage,baseline,45.8
2026,Usage,optimistic,48.3
2026,Usage,pessimistic,43.3
2027,Access,baseline,81.9
2027,Access,optimistic,84.4
2027,Access,pessimistic,79.4
2027,Usage,baseline,51.8
2027,Usage,optimistic,54.3
2027,Usage,pessimistic,49.3
